"","Antibiotic","Total_Tested","Mean_Testing_Rate"
"1","AKN",569558,0.997163756307141
"2","AMC",555479,0.972514697694939
"3","AMP",400648,0.701441582133766
"4","AMX",531505,0.930541792576045
"5","AZT",49951,0.0874525979642073
"6","CAZ",539245,0.94409273466415
"7","CFM",543652,0.951808367969355
"8","CIP",252533,0.442126622523977
"9","CN",26739,0.0468137778415835
"10","CRO",571154,0.999957981574921
"11","CS",10081,0.0176494893010585
"12","CTX",571037,0.999753141752659
"13","CXM",55730,0.0975702845697839
"14","ERT",570145,0.998191456953874
"15","FEP",91689,0.160526140712703
"16","FOS",562209,0.984297364394287
"17","FOX",562656,0.985079957561391
"18","FUR",553153,0.968442411997661
"19","GEN",537692,0.941373792407971
"20","IMP",96724,0.169341256140818
"21","LEV",98526,0.172496139557196
"22","MEC",552009,0.966439533735543
"23","MEM",63979,0.112012367423115
"24","NAL",501289,0.877640595401083
"25","NOR",150336,0.263203414697345
"26","OFL",473272,0.828589336424022
"27","PIP",54951,0.0962064365224151
"28","TCC",32811,0.0574444393866711
"29","TEM",294631,0.515830441648663
"30","TGC",46557,0.0815104923508959
"31","TIC",468448,0.820143632983063
"32","TMP",67871,0.118826355356824
"33","TOB",421040,0.73714323730956
"34","TSU",566768,0.992279114391661
"35","TZP",529303,0.92668660207501
